code,where,scale
835,Argentina,regional
840,Kenya,regional
850,Atlantic Ocean,regional
853,United Republic of Tanzania,regional
853,United Republic of Tanzania,regional
853,United Republic of Tanzania,regional
853,United Republic of Tanzania,regional
857,Indian Ocean,regional
864,Germany,regional
866,United Kingdom,regional
867,South Africa,regional
878,Brazil,regional
885,United States of America,regional
886,Brazil,regional
887,Finland,regional
894,Brazil,regional
895,United States of America,regional
896,United Kingdom,regional
901,United States of America,regional
911,United States of America,regional
915,Russia,regional
922,Europe,regional
922,Europe,regional
922,Europe,regional
923,Malaysia,regional
930,Mediterranean Sea,regional
932,Atlatic ocean,regional
935,United States of America,regional
942,Costa Rica,regional
945,Greece,regional
947,Japan,regional
951,China,regional
958,Mexico,regional
958,Jamaica,regional
958,Haiti,regional
958,El Salvador,regional
958,Costa Rica,regional
958,Panama,regional
958,Colombia,regional
958,Venezuela,regional
958,Trinidad and Tobago,regional
958,Suriname,regional
958,France,regional
958,Ecuador,regional
958,Peru,regional
958,Brazil,regional
963,Brazil,regional
966,United States of America,regional
968,Arctic Ocean,regional
970,Germany,regional
980,Germany,regional
981,United States of America,regional
983,Spain,regional
994,Indian Ocean,regional
995,United States of America,regional
996,United States of America,regional
1000,Canada,regional
1002,Brazil,regional
1003,Australia,regional
1003,Australia,regional
1003,Australia,regional
1006,North Atlantic,regional
1010,Russia,regional
1012,United States of America,regional
1013,Madagascar,regional
1014,Mexico,regional
1015,New Zealand,regional
1019,Chile,regional
1030,Finland,regional
1030,Germany,regional
1030,Latvia,regional
1030,United Kingdom,regional
1037,Cuba,regional
1039,China,regional
1040,Brazil,regional
1046,Brazil,regional
1051,Finland,regional
1052,United Kingdom,regional
1053,Mexico,regional
1053,United States of America,regional
1053,Canada,regional
1057,Brazil,regional
1062,United States of America,regional
1069,Caribbean,regional
1070,Germany,regional
1077,Brazil,regional
1080,United Kingdom,regional
1098,Finland,regional
1098,Poland,regional
1098,Germany,regional
1098,Romania,regional
1098,Italy,regional
1098,Spain,regional
1102,Europe,regional
1104,Canada,regional
1110,Ecuador,regional
1115,Mongolia,regional
1121,France,regional
1130,Brazil,regional
1132,Brazil,regional
1134,Philippines,regional
1173,Italy,regional
1190,South America,regional
1191,Brazil,regional
1196,Slovakia,regional
1198,Brazil,regional
1199,Venezuela,regional
1204,Namibia,regional
1205,Brazil,regional
1209,Finland,regional
1222,Costa Rica,regional
1223,Costa Rica,regional
1229,France,regional
1242,North Atlantic,regional
1245,Portugal,regional
1251,United States of America,regional
1252,Liberia,regional
1257,Western Hemisphere,regional
1269,Brazil,regional
1272,Brazil,regional
1279,Brazil,regional
1284,United States of America,regional
1285,France,regional
1292,Barents Sea,regional
1293,Brazil,regional
1301,France,regional
1319,Brazil,regional
1320,United States of America,regional
1322,Belgium,regional
1322,Czech Republic,regional
1322,Estonia,regional
1322,France,regional
1322,Germany,regional
1322,Netherlands,regional
1322,Switzerland,regional
1323,Brazil,regional
1327,Finland,regional
1329,United States of America,regional
1340,Finland,regional
1340,Finland,regional
1348,Spain,regional
1354,Finland,regional
1356,Spain,regional
1356,Morocco,regional
1364,Pacific Ocean,regional
1365,France,regional
1366,Finland,regional
1382,Singapore,regional
1382,Singapore,regional
1388,Malaysia,regional
1389,Belgium,regional
1393,Brazil,regional
1400,Qatar,regional
1405,United Kingdom,regional
1406,Canada,regional
1415,Mexico,regional
1438,France,regional
1442,Finland,regional
1442,Italy,regional
1442,Sweden,regional
1442,United Kingdom,regional
1443,Madagascar,regional
1446,United States of America,regional
1447,Mexico,regional
1447,Panama,regional
1447,Nicaragua,regional
1448,Brazil,regional
1456,Fiji,regional
1457,United States of America,regional
1480,Canary Islands,regional
1486,United States of America,regional
1486,United States of America,regional
1491,Estonia,regional
1508,Mexico,regional
1521,Brazil,regional
1522,India,regional
1524,Switzerland,regional
1527,Russia,regional
1527,Kyrgyzstan,regional
1527,Azerbaijan,regional
1527,Slovakia,regional
1527,Lithuania,regional
1527,Armenia,regional
1527,Georgia,regional
1527,Turkmenistan,regional
1527,Uzbekistan,regional
1527,Kazakhstan,regional
1527,Mongolia,regional
