code,where,scale
761,Bosnia and Herzegovina,regional
761,Bulgaria,regional
761,Croatia,regional
761,Czech Republic,regional
761,Denmark,regional
761,Estonia,regional
761,Finland,regional
761,France,regional
761,Germany,regional
761,Greece,regional
761,Hungary,regional
761,Iceland,regional
761,Ireland,regional
761,Italy,regional
761,Latvia,regional
761,Liechtenstein,regional
761,Lithuania,regional
761,Luxembourg,regional
761,Macedonia,regional
761,Malta,regional
761,Moldova,regional
761,Monaco,regional
761,Montenegro,regional
761,Netherlands,regional
761,Norway,regional
761,Poland,regional
761,Portugal,regional
761,Republic of Serbia,regional
761,Romania,regional
761,Russia,regional
761,San Marino,regional
761,Slovakia,regional
761,Slovenia,regional
761,Spain,regional
761,Sweden,regional
761,Switzerland,regional
761,Ukraine,regional
761,United Kingdom,regional
761,Kazakhstan,regional
7144,Andorra,regional
7144,Austria,regional
7144,Belarus,regional
7144,Belgium,regional
7144,Bosnia and Herzegovina,regional
7144,Bulgaria,regional
7144,Croatia,regional
7144,Czech Republic,regional
7144,Denmark,regional
7144,Estonia,regional
7144,Finland,regional
7144,France,regional
7144,Germany,regional
7144,Greece,regional
7144,Hungary,regional
7144,Iceland,regional
7144,Ireland,regional
7144,Italy,regional
7144,Latvia,regional
7144,Liechtenstein,regional
7144,Lithuania,regional
7144,Luxembourg,regional
7144,Macedonia,regional
7144,Malta,regional
7144,Moldova,regional
7144,Monaco,regional
7144,Montenegro,regional
7144,Netherlands,regional
7144,Norway,regional
7144,Poland,regional
7144,Portugal,regional
7144,Republic of Serbia,regional
7144,Romania,regional
7144,Russia,regional
7144,San Marino,regional
7144,Slovakia,regional
7144,Slovenia,regional
7144,Spain,regional
7144,Sweden,regional
7144,Switzerland,regional
7144,Ukraine,regional
7144,United Kingdom,regional
7144,Kazakhstan,regional
468,Andorra,regional
468,Austria,regional
468,Belarus,regional
468,Belgium,regional
468,Bosnia and Herzegovina,regional
468,Bulgaria,regional
468,Croatia,regional
468,Czech Republic,regional
468,Denmark,regional
468,Estonia,regional
468,Finland,regional
468,France,regional
468,Germany,regional
468,Greece,regional
468,Hungary,regional
468,Iceland,regional
468,Ireland,regional
468,Italy,regional
468,Latvia,regional
468,Liechtenstein,regional
468,Lithuania,regional
468,Luxembourg,regional
468,Macedonia,regional
468,Malta,regional
468,Moldova,regional
468,Monaco,regional
468,Montenegro,regional
468,Netherlands,regional
468,Norway,regional
468,Poland,regional
468,Portugal,regional
468,Republic of Serbia,regional
468,Romania,regional
468,Russia,regional
468,San Marino,regional
468,Slovakia,regional
468,Slovenia,regional
468,Spain,regional
468,Sweden,regional
468,Switzerland,regional
468,Ukraine,regional
468,United Kingdom,regional
468,Kazakhstan,regional
2196,Andorra,regional
2196,Austria,regional
2196,Belarus,regional
2196,Belgium,regional
2196,Bosnia and Herzegovina,regional
2196,Bulgaria,regional
2196,Croatia,regional
2196,Czech Republic,regional
2196,Denmark,regional
2196,Estonia,regional
2196,Finland,regional
2196,France,regional
2196,Germany,regional
2196,Greece,regional
2196,Hungary,regional
2196,Iceland,regional
2196,Ireland,regional
2196,Italy,regional
2196,Latvia,regional
2196,Liechtenstein,regional
2196,Lithuania,regional
2196,Luxembourg,regional
2196,Macedonia,regional
2196,Malta,regional
2196,Moldova,regional
2196,Monaco,regional
2196,Montenegro,regional
2196,Netherlands,regional
2196,Norway,regional
2196,Poland,regional
2196,Portugal,regional
2196,Republic of Serbia,regional
2196,Romania,regional
2196,Russia,regional
2196,San Marino,regional
2196,Slovakia,regional
2196,Slovenia,regional
2196,Spain,regional
2196,Sweden,regional
2196,Switzerland,regional
2196,Ukraine,regional
2196,United Kingdom,regional
2196,Kazakhstan,regional
