code,where,scale,lat_GD,long_GD
1025,Germany,local,,
1025,Germany,local,,
1029,China,local,,
1036,China,local,,
1042,Brazil,local,,
1045,France,local,,
1047,Vietnam,local,,
1049,China,local,,
1059,France,local,25.583.333,106.633.333
1060,Sweden,local,5.06,-53.05
1068,Mexico,local,,
1085,South Africa,local,,
1087,Sweden,local,,
1092,Brazil,local,,
1099,Hungary,local,,
1118,France,local,,
1122,Brazil,local,,
1126,United States of America,local,,
1140,Portugal,local,,
1147,Germany,local,41.58333333,-8.8
1151,Germany,local,50.916.667,11.583.333
1155,Brazil,local,,
1157,Brazil,local,-19.910.000,-55.798.333
1159,Canada,local,,
1160,Brazil,local,,
1175,Cuba,local,,
1176,Germany,local,,
1187,Argentina,local,,
1203,Venezuela,local,,
1206,Italy,local,,
1208,China,local,,
1212,Italy,local,,
1216,Guinea Bissau,local,,
1232,Sweden,local,,
1236,Venezuela,local,,
1237,Brazil,local,7.533333333,-64.98333333
1247,Mexico,local,,
1250,France,local,,
1254,United States of America,local,,
1255,China,local,,
1258,Vietnam,local,,
1261,Panama,local,,
1262,France,local,9.25,-80.41666667
1265,Mexico,local,,
1267,United States of America,local,Mudaria este para regional,
1268,Italy,local,,
1268,Italy,local,46.22,10.68388889
1270,Ecuador,local,46.22,10.68388889
1277,Spain,local,,
1278,Canada,local,,
1286,United Kingdom,local,,
1294,Indonesia,local,,
1297,Brazil,local,,
1308,Malaysia,local,-1.416.667,-56.250.000
1326,Costa Rica,local,,
1332,Poland,local,,
1333,Netherlands,local,,
1339,Mexico,local,,
1344,France,local,,
1350,South Africa,local,,
1351,Brazil,local,,
1361,Brazil,local,,
1381,South Africa,local,-23.696.389,-46.450.278
1384,United States of America,local,,
1384,Netherlands,local,,
1396,Slovenia,local,,
1424,Brazil,local,45.633.333,14.083.333
1431,Brazil,local,,
1454,United Republic of Tanzania,local,,
1468,United States of America,local,,
1473,Australia,local,,
1474,United States of America,local,,
1478,Australia,local,,
1481,Portugal,local,,
1493,Peru,local,,
1495,Peru,local,,
1498,Sweden,local,,
1505,Chile,local,,
1505,Canada,local,,
1512,Mexico,local,,
1530,United States of America,local,16.516.667,-94.800.000
1531,United States of America,local,,
1531,United States of America,local,,
1531,United States of America,local,,
1536,Canada,local,,
1555,Canada,local,,
1560,Germany,local,,
1567,Mexico,local,53.03,14.02
1567,Mexico,local,,
1580,Brazil,local,,
1584,France,local,,
1594,China,local,,
1597,United Kingdom,local,29.37,118.57
1598,Spain,local,,
1604,United States of America,local,,
1607,South Africa,local,,
1609,Portugal,local,-31.07963611,30.19440833
1619,Canada,local,,
1629,Russia,local,,
1639,China,local,,
1647,Canada,local,,
1655,United States of America,local,,
1662,Ethiopia,local,44.7,-70.8
1668,France,local,,
1669,France,local,-12,-135
1675,Australia,local,,
1677,Czech Republic,local,,
1687,Poland,local,,
1705,South Africa,local,,
1715,Colombia,local,,
1751,Greece,local,,
1760,Poland,local,,
1764,Mexico,local,,
1764,Mexico,local,21.33,-104.88
1778,Spain,local,,
1779,Brazil,local,37.876.944,-2.757.222
1788,United States of America,local,,
1790,South Africa,local,,
1814,South Africa,local,,
1818,Brazil,local,,
1820,Luxembourg,local,,
1822,Portugal,local,,
1832,Italy,local,,
1833,United States of America,local,,
1836,Kenya,local,,
1841,Australia,local,,
1843,Costa Rica,local,-14.66455,590.25
1854,South Africa,local,,
1857,United Kingdom,local,,
1860,Brazil,local,,
1868,Australia,local,,
1870,United States of America,local,,
1875,Greece,local,,
1885,Slovakia,local,,
1889,Germany,local,,
1898,Brazil,local,49.7833,9.9333
1915,Australia,local,,
1917,Brazil,local,,
1928,Poland,local,,
1929,Italy,local,48.986.944,19.767.500
1936,United States of America,local,,
1954,Spain,local,,
1954,Spain,local,,
1955,Brazil,local,,
1956,New Zealand,local,,
1958,Australia,local,,
1959,Czech Republic,local,,
1960,United States of America,local,,
1965,France,local,,
1976,Brazil,local,,
1988,Norway,local,,
1998,New Zealand,local,69.116.667,19.083.333
2000,Japan,local,,
2001,United States of America,local,,
2006,Brazil,local,,
2011,Spain,local,,
2012,Australia,local,,
2013,New Caledonia,local,,
2018,United States of America,local,,
2022,Greece,local,,
2027,Germany,local,,
2028,Seychelles,local,,
2035,United States of America,local,,
2035,United States of America,local,37.366.667,-76.800.000
2037,Argentina,local,37.033.333,-76.583.333
2050,Colombia,local,,
2051,Spain,local,,
2058,France,local,,
2059,China,local,,
2064,United Kingdom,local,,
2064,United Kingdom,local,-7.894,-14.384
2065,Italy,local,-7.894,-14.384
2079,Belgium,local,,
2090,France,local,,
2093,Italy,local,,
2099,Brazil,local,,
2102,Japan,local,,
2122,France,local,,
2123,China,local,,
2125,China,local,,
2126,Japan,local,,
2143,France,local,,
2147,Czech Republic,local,,
2150,Canada,local,,
2151,Italy,local,,
2160,Portugal,local,,
2168,France,local,40.13333333,8.833333333
2170,Peru,local,,
2184,Turkey,local,,
2187,Mexico,local,,
2188,Italy,local,19.80753056,-87.682825
2192,United States of America,local,,
2199,United States of America,local,39.08333333,-93.58333333
2208,France,local,,
2211,Portugal,local,,
2219,Switzerland,local,,
2220,Canada,local,,
2226,Colombia,local,,
2240,Germany,local,,
2240,Germany,local,,
2241,Ethiopia,local,,
2258,China,local,,
2259,China,local,23.916.667,101.200.000
2263,France,local,31.65,119.47
2271,United States of America,local,,
2277,Portugal,local,,
2280,Panama,local,40,
2291,Costa Rica,local,,
2292,Czech Republic,local,10.433.333,84.016.667
2299,Austria,local,,
2308,China,local,,
2309,Mexico,local,,
2315,China,local,,
2317,Finland,local,,
2318,China,local,,
2321,Indonesia,local,,
2332,Australia,local,,
2335,Switzerland,local,,
2335,Switzerland,local,47.59,8.77
2335,Switzerland,local,,
2335,Switzerland,local,,
2335,Switzerland,local,,
2335,Switzerland,local,,
2339,Hungary,local,,
2340,Brazil,local,,
2343,United States of America,local,,
2349,New Zealand,local,,
2352,Baltic Sea,local,,
2354,Czech Republic,local,,
2364,South Africa,local,,
2369,Italy,local,,
2371,France,local,,
2394,United States of America,local,5.061.944,-53.046.111
2395,Sweden,local,,
2406,Malaysia,local,,
2407,South Africa,local,4.97,117.8
2410,China,local,,
2411,Brazil,local,21.933.333,101.183.333
2418,Australia,local,,
2431,China,local,-34.85,148.55
2434,Sweden,local,,
2438,Italy,local,,
2460,United States of America,local,,
2478,Finland,local,,
2478,Finland,local,,
2488,Sweden,local,,
2488,Sweden,local,,
